제품명,기능성,processed_text
에이드칼슘,①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌,뼈 치아 신경 근육 혈액 골다공증 감소
에이밸런스,"[마그네슘]
①에너지 이용에 필요②신경과 근육 기능 유지에 필요",마그네슘 에너지 신경 근육
에이비타포르테,"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면 향후 골다공증발생의 위험을 감소시킬 수 있음
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
",칼슘 뼈 치아 신경 근육 혈액 청년 기 이전 운동 식 습관 칼슘 섭취 향후 골다공증 감소 수 마그네슘 에너지 신경 근육 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 엽산 혈액 생 태아 경관 혈액 시스테인
에이스 마그네슘,"[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌.
[비타민B1] 탄수화물과 에너지 대사에 필요.
[비타민B2] 체내 에너지 성성에 필요.
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.",비타민 칼슘 인 뼈 골다공증 감소 비타민 에너지 비타민 에너지 성 비타민 단백질 아미노산 혈액 시스테인 마그네슘 에너지 신경 근육
에이스데일리 멀티비타민미네랄,"[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민 C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민 B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[크롬] (1) 체내 탄수화물, 지방, 단백질 대사에 관여
[나이아신] ①체내 에너지 생성에 필요
[요오드] ①갑상선 호르몬의 합성에 필요②에너지 생성에 필요③신경발달에 필요
[비타민 B1] (1) 탄수화물과 에너지 대사에 필요
[몰리브덴] 산화·환원 효소의 활성에 필요
[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민 B2] (1) 체내 에너지 생성에 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[비타민 B12] (1) 정상적인 엽산 대사에 필요
[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",마그네슘 에너지 신경 근육 비타민 철 항산화 산소 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 크롬 지방 단백질 관여 나이아신 에너지 생 요오드 갑상선 호르몬 에너지 생 비타민 에너지 몰리브덴 산화 환원 효소 활 비타민 항산화 산소 비타민 에너지 생 비오틴 지방 단백질 에너지 생 아연 면역 비타민 엽산 비타민 칼슘 인 뼈 골다공증 감소 망간 뼈 에너지 산소 셀렌 산소 엽산 혈액 생 태아 경관 혈액 시스테인
에이스바이옴 멀티비타민,"칼슘 : (1) 뼈와 치아 형성에 필요 (2) 신경과 근육 기능 유지에 필요 (3) 정상적인 혈액응고에 필요 (4) 골다공증발생 위험 감소에 도움을 줌
마그네슘 : (1) 에너지 이용에 필요 (2) 신경과 근육 기능 유지에 필요
비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
비타민E : (1) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
셀레늄 : (1) 유해산소로부터 세포를 보호하는데 필요
나이아신 : (1) 체내 에너지 생성에 필요
몰리브덴 : (1) 산화·환원 효소의 활성에 필요
판토텐산 : (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
철 : (1) 체내 산소운반과 혈액생성에 필요 (2) 에너지 생성에 필요
크롬: (1) 체내 탄수화물, 지방, 단백질 대사에 관여
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민A : (1) 어두운 곳에서 시각 적응을 위해 필요 (2) 피부와 점막을 형성하고 기능을 유지하는데 필요 (3) 상피세포의 성장과 발달에 필요
망간 : (1) 뼈 형성에 필요 (2) 에너지 이용에 필요 (3) 유해산소로부터 세포를 보호하는데 필요
비오틴 : (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B2 : (1) 체내 에너지 생성에 필요
비타민B1 : (1) 탄수화물과 에너지 대사에 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌
구리 : (1) 철의 운반과 이용에 필요 (2) 유해산소로부터 세포를 보호하는데 필요
비타민B12 : (1) 정상적인 엽산 대사에 필요
비타민K : (1) 정상적인 혈액응고에 필요 (2) 뼈의 구성에 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
요오드 : (1) 갑상선 호르몬의 합성에 필요 (2) 에너지 생성에 필요 (3) 신경발달에 필요",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 비타민 철 항산화 산소 비타민 항산화 산소 셀레늄 산소 나이아신 에너지 생 몰리브덴 산화 환원 효소 활 판토텐산 지방 단백질 에너지 생 철 산소 운반 혈액 생 에너지 생 크롬 지방 단백질 관여 아연 면역 비타민 곳 피부 점막 상피세포 망간 뼈 에너지 산소 비오틴 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 비타민 에너지 비타민 칼슘 인 뼈 골다공증 감소 구리 철 운반 산소 비타민 엽산 비타민 혈액 뼈 구성 엽산 혈액 생 태아 경관 혈액 시스테인 요오드 갑상선 호르몬 에너지 생
에이엠 스윝칼슘,"[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
[비타민K] 정상적인 혈액응고에 필요, 뼈의 구성에 필요",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 비타민 칼슘 인 뼈 골다공증 감소 비타민 혈액 뼈 구성
에이자임,"[밀크씨슬(카르두스 마리아누스) 추출물 제품]① 간 건강에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
",밀크 슬 카르 스 마리 아누 스 물 간 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 셀레늄 셀렌 산소 아연 면역
에이지 포뮬라 레드 AG Formula Red,"[EPA 및 DHA 함유 유지] 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음

[마리골드꽃추출물] 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음

[헤마토코쿠스 추출물] 눈의 피로도 개선에 도움을 줄 수 있음

[코엔자임Q10] 항산화·높은 혈압 감소에 도움을 줄 수 있음

[비타민 C] ①결합조직 형성과 기능유지에 필요 ②철의 흡수에 필요 ③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌

[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요 ②신경과 근육 기능 유지에 필요

[셀렌] 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요

[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여",중성 지질 혈행 줄 수 마리 골드 꽃 물 노화 감소 수 황반 색소 밀도 눈 줄 수 헤 마토 코 쿠스 물 눈 피로 줄 수 코엔자임 항산화 혈압 감소 줄 수 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 마그네슘 에너지 신경 근육 셀렌 산소 아연 면역 크롬 지방 단백질 관여
에이지이 본칼슘 골드,"①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요",뼈 치아 신경 근육 혈액 골다공증 감소 에너지 신경 근육 면역 칼슘 인 뼈 골다공증 감소 뼈 에너지 산소
에이치마인드 마칼디K 부스트,"[비타민D]
(가) 칼슘과 인이 흡수되고 이용되는데 필요
(나) 뼈의 형성과 유지에 필요
(다) 골다공증발생 위험 감소에 도움을 줌
[비타민K]
(가) 정상적인 혈액응고에 필요
(나) 뼈의 구성에 필요
[칼슘]
(가) 뼈와 치아 형성에 필요
(나) 신경과 근육 기능 유지에 필요
(다) 정상적인 혈액응고에 필요
(라) 골다공증 발생 위험 감소에 도움을 줌
[마그네슘]
(가) 에너지 이용에 필요
(나) 신경과 근육 기능 유지에 필요",비타민 칼슘 인 뼈 골다공증 감소 비타민 혈액 뼈 구성 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육
에이치비엠(HBM)칼슘,"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면 향후 골다공증발생의 위험을 감소시킬 수 있음
",칼슘 뼈 치아 신경 근육 혈액 청년 기 이전 운동 식 습관 칼슘 섭취 향후 골다공증 감소 수
에이치에스-키퍼 (HS-Keeper),"[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
",마그네슘 에너지 신경 근육
에이치에스-파워 (HS-Power),"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
에이치엠멀티미네랄 마그네슘&망간,"[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[망간]①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
",마그네슘 에너지 신경 근육 망간 뼈 에너지 산소
에이치케이골드(HK GOLD),"[HK 나토배양물(제2009-50호)] : 혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II)

[비타민B12] : (1) 정상적인 엽산 대사에 필요

[비타민B6] : ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[엽산] : ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[철] : ①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요",나토 배양 물 호 혈액 방해 수 혈액 줄 수 비타민 엽산 비타민 단백질 아미노산 혈액 시스테인 엽산 혈액 생 태아 경관 혈액 시스테인 철 산소 운반 혈액 생 에너지 생
에이토솔루션 아이쑥쑥 칼슘 젤리,①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌,뼈 치아 신경 근육 혈액 골다공증 감소
에이토솔루션 유기농 엽산,"[엽산] ①세포와 혈액생성에 필요 ②태아 신경관의 정상 발달에 필요 ③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12] 정상적인 엽산 대사에 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌",엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 비타민 칼슘 인 뼈 골다공증 감소
에이토솔루션 튼튼멀티비타민,"* 나이아신
① 체내 에너지 생성에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민K
① 정상적인 혈액응고에 필요
② 뼈의 구성에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 판토텐산
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",나이아신 에너지 생 비오틴 지방 단백질 에너지 생 비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 혈액 뼈 구성 엽산 혈액 생 태아 경관 혈액 시스테인 판토텐산 지방 단백질 에너지 생
에이트 나이츠 필,"미강주정추출물(제2018-3호) : (국문) 수면에 도움을 줄 수 있음 (영문) May help to sleep
마그네슘 : (1) 에너지 이용에 필요 (2) 신경과 근육 기능 유지에 필요",강 주정 물 호 수면 줄 수 마그네슘 에너지 신경 근육
에이팜엽산,"①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①정상적인 엽산 대사에 필요",혈액 생 태아 경관 혈액 시스테인 엽산
에이펙셀 관절연골튼튼,"[칼    슘] ①뼈와치아형성에필요 ②신경과근육기능유지에필요 ③정상적인혈액응고에필요 ④골다공증발생위험감소에도움을줌

[비타민 D]①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생위험감소에 도움을 줌

[마그네슘] ①에너지 이용에 필요  ②신경과 근육기능 유지에 필요

[뮤코다당⋅단백] ①관절 및 연골건강에 도움을 줄 수 있음",칼 슘 뼈 치아 신경 혈액 골다공증 감소 비타민 칼슘 인 뼈 골다공증 감소 마그네슘 에너지 신경 근육 뮤 코다 단백 관절 연골 줄 수
에이펙셀본칼슘,"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
에이포뮬러 멀티비타민&미네랄,"[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[나이아신] ①체내 에너지 생성에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 나이아신 에너지 생 망간 뼈 에너지 산소 판토텐산 지방 단백질 에너지 생 셀렌 산소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 크롬 지방 단백질 관여
에이포뮬러 비타민B콤플렉스,"[비타민B1]①탄수화물과 에너지 대사에 필요

[비타민B2]①체내 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12]①정상적인 엽산 대사에 필요

[나이아신]①체내 에너지 생성에 필요

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 나이아신 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 판토텐산 지방 단백질 에너지 생
에이포뮬러 칼슘·마그네슘&비타민D3,"[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소
에이포뮬러멀티비타민&미네랄14,"[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[나이아신] ①체내 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 산소 비타민 칼슘 인 뼈 골다공증 감소 나이아신 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 판토텐산 지방 단백질 에너지 생 아연 면역 망간 뼈 에너지 산소 셀렌 산소 비오틴 지방 단백질 에너지 생
에이하나비타,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
  ",비타민 에너지 비타민 에너지 생 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 비타민 엽산 비타민 철 산소 아연 면역 비타민 칼슘 인 뼈 골다공증 감소
에인에이칼본플러스,"①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",뼈 치아 신경 근육 혈액 골다공증 감소 에너지 신경 근육 면역 칼슘 인 뼈 골다공증 감소
에잇 투 텐,"(국문) 체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
(영문) May help reduce body fat mass(Other function claim 2 grade)

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①에너지 이용에 필요②신경과 근육 기능 유지에 필요",체지방 감소 줄 수 생리 활 철 항산화 산소 칼슘 인 뼈 골다공증 감소 혈액 생 태아 경관 혈액 시스테인 에너지 신경 근육
에코 멀티비타민 21종,"[비타민C]
①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민E]
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철]
①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요
[나이아신]
①체내 에너지 생성에 필요
[크롬]
①체내 탄수화물, 지방, 단백질 대사에 관여
[몰리브덴]
①산화·환원 효소의 활성에 필요
[아연]
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간]
①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[비오틴]
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B12]
①정상적인 엽산 대사에 필요
[비타민A]
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[구리]
①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[셀레늄]
①유해산소로부터 세포를 보호하는데 필요
[판토텐산]
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1]
①탄수화물과 에너지 대사에 필요
[비타민K]
①정상적인 혈액응고에 필요②뼈의 구성에 필요
[비타민B2]
①체내 에너지 생성에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[엽산]
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[요오드]
①갑상선 호르몬의 합성에 필요②에너지 생성에 필요③신경발달에 필요",비타민 철 항산화 산소 비타민 항산화 산소 철 산소 운반 혈액 생 에너지 생 나이아신 에너지 생 크롬 지방 단백질 관여 몰리브덴 산화 환원 효소 활 아연 면역 망간 뼈 에너지 산소 비오틴 지방 단백질 에너지 생 비타민 엽산 비타민 곳 피부 점막 상피세포 구리 철 운반 산소 셀레늄 산소 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 혈액 뼈 구성 비타민 에너지 생 비타민 칼슘 인 뼈 골다공증 감소 엽산 혈액 생 태아 경관 혈액 시스테인 요오드 갑상선 호르몬 에너지 생
에트나케어,"당귤농축분말(ROCH) : 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요
비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요
비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B1 : 탄수화물과 에너지 대사에 필요
비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요
비타민B12 : 정상적인 엽산 대사에 필요
엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",귤 농축 분말 피부 보습 줄 수 자외선 피부 손상 피부 줄 수 아연 면역 비타민 곳 피부 점막 상피세포 비타민 칼슘 인 뼈 골다공증 감소 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 혈액 뼈 구성 비타민 엽산 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생
